Date,Team,Win,GF,game_lat,Opponent,Win,GF,Draw,modal_score,comp_tier,notes
June 25 🏆@@24282,:jp: JPN,47.0,1.7,37.3172,:se: SWE,26.1,1.2,26.9,1-0,9,FIFA 2026 World Cup: Group Stage
June 25 🏆@@24282,:us: USA 🏡,28.4,1.2,37.3172,:tr: TUR,43.6,1.5,28.0,0-0,9,FIFA 2026 World Cup: Group Stage
June 25 🏆@@24282,:ci: CIV,68.2,2.1,37.3172,:cw: CUW,10.1,0.7,21.7,1-0,9,FIFA 2026 World Cup: Group Stage
June 25 🏆@@24282,:py: PAR,47.9,1.4,37.3172,:au: AUS,22.1,0.9,30.0,0-0,9,FIFA 2026 World Cup: Group Stage
June 26 🏆@@24283,:fr: FRA,51.4,1.8,37.3172,:no: NOR,22.3,1.1,26.4,1-0,9,FIFA 2026 World Cup: Group Stage
June 26 🏆@@24283,:sn: SEN,71.2,2.0,46.89425,:iq: IRQ,7.1,0.5,21.8,1-0,9,FIFA 2026 World Cup: Group Stage
June 26 🏆@@24283,:be: BEL,82.9,2.9,46.89425,:nz: NZL,3.8,0.5,13.3,2-0,9,FIFA 2026 World Cup: Group Stage
June 26 🏆@@24283,:es: ESP,67.0,2.1,21.34143,:uy: URU,10.6,0.7,22.4,1-0,9,FIFA 2026 World Cup: Group Stage
June 26 🏆@@24283,:sa: KSA,32.3,1.0,37.3172,:cv: CPV,34.3,1.1,33.4,0-0,9,FIFA 2026 World Cup: Group Stage
June 26 🏆@@24283,:eg: EGY,41.4,1.3,37.3172,:ir: IRN,27.9,1.0,30.8,0-0,9,FIFA 2026 World Cup: Group Stage
June 27 🏆@@24284,:at: AUT,46.1,1.7,37.3172,:dz: ALG,27.1,1.2,26.8,1-0,9,FIFA 2026 World Cup: Group Stage
June 27 🏆@@24284,:ar: ARG,86.9,3.1,37.3172,:jo: JOR,2.0,0.3,11.1,2-0,9,FIFA 2026 World Cup: Group Stage
June 27 🏆@@24284,:hr: CRO,69.8,2.2,37.3172,:gh: GHA,9.0,0.6,21.2,1-0,9,FIFA 2026 World Cup: Group Stage
June 27 🏆@@24284,:cd: COD,42.2,1.4,37.3172,:uz: UZB,28.2,1.1,29.5,0-0,9,FIFA 2026 World Cup: Group Stage
June 27 🏆@@24284,:gb-eng: ENG,80.8,2.6,37.3172,:pa: PAN,4.0,0.4,15.2,1-0,9,FIFA 2026 World Cup: Group Stage
June 27 🏆@@24284,:pt: POR,40.4,1.3,37.3172,:co: COL,29.0,1.1,30.6,0-0,9,FIFA 2026 World Cup: Group Stage
May 16@@24242,:ie: IRL,90.7,3.9,39.58596,:gd: GRN,1.6,0.4,7.7,2-0,1,Friendly
May 22@@24248,:mx: MEX 🏡,71.5,2.2,21.34143,:gh: GHA,7.8,0.5,20.7,1-0,1,Friendly
May 26@@24252,:ng: NGA,75.5,2.4,52.5,:zw: ZIM,6.3,0.5,18.2,1-0,2,Unity Cup
May 27@@24253,:jm: JAM,76.6,2.4,52.5,:in: IND,5.8,0.5,17.6,1-0,2,Unity Cup
May 28@@24254,:ie: IRL 🏡,72.2,2.2,53.13107,:qa: QAT,7.8,0.6,20.0,1-0,1,Friendly
May 28@@24254,:eg: EGY 🏡,40.8,1.4,29.58415,:ru: RUS,29.3,1.1,30.0,0-0,1,Friendly
May 29@@24255,:ba: BIH 🏡,50.1,1.7,44.33118,:mk: MKD,23.0,1.1,26.9,1-0,1,Friendly
May 29@@24255,:co: COL 🏡,77.8,2.5,5.939079,:cr: CRC,5.4,0.5,16.9,1-0,1,Friendly
May 29@@24255,:iq: IRQ,68.4,1.9,39.58596,:ad: AND,8.2,0.5,23.4,1-0,1,Friendly
May 30@@24256,:ec: ECU,68.9,2.1,37.3172,:sa: KSA,9.0,0.6,22.1,1-0,1,Friendly
